12-20 04:43:53.690 I/flutter (24613): [AgusDemo] Starting initialization...
12-20 04:43:53.691 I/flutter (24613): [AgusDemo] Initializing MWM storage...
12-20 04:43:55.095 I/flutter (24613): [AgusDemo] Extracting World.mwm...
12-20 04:43:56.872 I/flutter (24613): [AgusDemo] Extracting WorldCoasts.mwm...
12-20 04:43:56.881 I/flutter (24613): [AgusDemo] Extracting Gibraltar.mwm...
12-20 04:43:56.887 I/flutter (24613): [AgusDemo] Map paths: [/data/user/0/app.agus.maps.agus_maps_flutter_example/files/World.mwm, /data/user/0/app.agus.maps.agus_maps_flutter_example/files/WorldCoasts.mwm, /data/user/0/app.agus.maps.agus_maps_flutter_example/files/Gibraltar.mwm]
12-20 04:43:56.891 I/flutter (24613): [AgusDemo] Extracting icudt75l.dat...
12-20 04:43:56.978 I/flutter (24613): [AgusDemo] Extracting data files...
12-20 04:43:57.003 D/AgusMapsFlutter(24613): Extracting CoMaps data files...
12-20 04:43:57.065 I/flutter (24613): [AgusDemo] Data path: /data/user/0/app.agus.maps.agus_maps_flutter_example/files
12-20 04:43:57.065 I/flutter (24613): [AgusDemo] Calling initWithPaths()...
12-20 04:43:57.074 D/AgusMapsFlutterNative(24613): comaps_init_paths: resource=/data/user/0/app.agus.maps.agus_maps_flutter_example/files, writable=/data/user/0/app.agus.maps.agus_maps_flutter_example/files
12-20 04:43:57.074 D/AgusMapsFlutterNative(24613): comaps_init_paths: Custom logging initialized
12-20 04:43:57.074 D/AgusMapsFlutterNative(24613): comaps_init_paths: Platform initialized, Framework deferred to render thread
12-20 04:43:57.074 I/flutter (24613): [AgusDemo] initWithPaths() complete
12-20 04:43:57.075 I/flutter (24613): [AgusDemo] Maps will be registered after surface creation...
12-20 04:43:57.161 D/AgusMapsFlutterNative(24613): nativeSetSurface: textureId=0, window=0x75ffa8d0a0, size=720x1221, density=1.75
12-20 04:43:57.161 D/AgusMapsFlutterNative(24613): nativeSetSurface: Creating Framework...
12-20 04:43:57.353 I/CoMaps  (24613): storage/storage.cpp:609 LoadCountriesFile(): Loaded countries list for version: 251209
12-20 04:43:57.354 D/CoMaps  (24613): routing/speed_camera_manager.cpp:132 Reset(): SpeedCameraManager::Reset: Starting, this= 0x760fa7a550
12-20 04:43:57.354 D/CoMaps  (24613): routing/speed_camera_manager.cpp:135 Reset(): SpeedCameraManager::Reset: Calling ResetNotifications...
12-20 04:43:57.354 D/CoMaps  (24613): routing/speed_camera_manager.cpp:138 Reset(): SpeedCameraManager::Reset: About to call m_speedCamClearCallback, callback valid= 1
12-20 04:43:57.354 D/CoMaps  (24613): routing/speed_camera_manager.cpp:141 Reset(): SpeedCameraManager::Reset: Invoking callback...
12-20 04:43:57.354 D/CoMaps  (24613): routing/speed_camera_manager.cpp:143 Reset(): SpeedCameraManager::Reset: Callback invoked successfully
12-20 04:43:57.354 D/CoMaps  (24613): routing/speed_camera_manager.cpp:149 Reset(): SpeedCameraManager::Reset: m_speedCamClearCallback complete
12-20 04:43:57.354 D/CoMaps  (24613): routing/speed_camera_manager.cpp:151 Reset(): SpeedCameraManager::Reset: Invalidating closestCamera...
12-20 04:43:57.354 D/CoMaps  (24613): routing/speed_camera_manager.cpp:156 Reset(): SpeedCameraManager::Reset: Complete
12-20 04:43:57.354 I/CoMaps  (24613): platform/string_storage_base.cpp:24 StringStorageBase(): Settings path: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/settings.ini
12-20 04:43:57.354 I/CoMaps  (24613): platform/string_storage_base.cpp:42 StringStorageBase(): LastLocationStateMode : PendingPosition
12-20 04:43:57.354 I/CoMaps  (24613): platform/string_storage_base.cpp:42 StringStorageBase(): US_FirstLaunch : 1765999724
12-20 04:43:57.359 W/CoMaps  (24613): drape_frontend/color_constants.cpp:45 Load(): Loading transit colors failed: FileAbsentException /Users/gilmichael/Desktop/Projects/agf1/thirdparty/comaps/libs/platform/platform.cpp:150, "File transit_colors.txt doesn't exist in the scope wrf 
12-20 04:43:57.359 W/CoMaps  (24613): w:  /data/user/0/app.agus.maps.agus_maps_flutter_example/files/ 
12-20 04:43:57.359 W/CoMaps  (24613): r:  /data/user/0/app.agus.maps.agus_maps_flutter_example/files/ 
12-20 04:43:57.359 W/CoMaps  (24613): s:  /data/user/0/app.agus.maps.agus_maps_flutter_example/files/"
12-20 04:43:57.359 D/CoMaps  (24613): indexer/classificator_loader.cpp:46 Load(): Reading of classificator started
12-20 04:43:58.138 D/CoMaps  (24613): indexer/classificator_loader.cpp:67 Load(): Reading of classificator finished
12-20 04:43:58.138 D/CoMaps  (24613): map/framework.cpp:309 Framework(): Classificator initialized
12-20 04:43:58.140 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.161 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.173 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.189 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.189 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.189 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.193 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.193 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.193 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.199 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
12-20 04:43:58.207 D/CoMaps  (24613): indexer/transliteration_loader.cpp:28 InitTransliterationInstanceWithDefaultDirs(): ICU data file already exists at: /data/user/0/app.agus.maps.agus_maps_flutter_example/files/icudt75l.dat
